Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,certificates_pending,124,0,9,11.340336292989612,5.86720003047958,58.89129999559373,2.0,2.086831959617382,0.0,9,10,12,12,18,29,40,43,59,59,59
POST,gateway_qr_invalid_token,156,0,50,47.2263108964305,10.380399995483458,67.13260000105947,67.0,2.625369239518642,0.0,50,52,53,53,55,58,65,66,67,67,67
GET,identity_lookup_protected,79,0,5,5.276746829806626,3.443499968852848,11.217600025702268,0.0,1.3295139097562354,0.0,5,6,6,6,8,10,11,11,11,11,11
POST,identity_map,180,0,51,50.108967220876366,11.045499995816499,88.81169999949634,54.0,3.029272199444587,0.0,51,52,52,53,56,60,67,70,89,89,89
POST,identity_map_setup,6,0,23,29.699083320641268,19.873299985192716,55.82279997179285,54.0,0.10097573998148623,0.0,24,24,34,34,56,56,56,56,56,56,56
GET,promotion_health_smoke,36,0,24,25.204427769899162,14.347999996971339,57.85640003159642,77.0,0.6058544398889174,0.0,24,25,29,30,37,43,58,58,58,58,58
,Aggregated,581,0,47,33.210907399529354,3.443499968852848,88.81169999949634,40.47504302925989,9.77781748820725,0.0,47,50,51,52,54,56,61,66,89,89,89
